County,PARTY,Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,Eligible
Carroll,DEM,"1,228",3.71%,"1,152",3.48%,683,2.06%,659,1.99%,"1,012",3.06%,"1,003",3.03%,"1,105",3.34%,"1,160",3.51%,"8,002",24.18%,"33,091"
"",GRN,3,2.19%,3,2.19%,1,0.73%,1,0.73%,2,1.46%,6,4.38%,2,1.46%,2,1.46%,20,14.60%,137
"",LIB,12,1.41%,20,2.34%,11,1.29%,11,1.29%,26,3.05%,22,2.58%,24,2.81%,21,2.46%,147,17.23%,853
"",NLM,1,0.82%,3,2.46%,2,1.64%,1,0.82%,2,1.64%,3,2.46%,5,4.10%,1,0.82%,18,14.75%,122
"",OTH,45,3.79%,43,3.62%,26,2.19%,23,1.94%,35,2.95%,31,2.61%,32,2.70%,41,3.45%,276,23.25%,"1,187"
"",REP,"3,493",5.46%,"2,907",4.55%,"1,573",2.46%,"1,611",2.52%,"2,902",4.54%,"2,961",4.63%,"2,714",4.25%,"2,760",4.32%,"20,921",32.72%,"63,932"
"",UNA,772,2.58%,759,2.54%,475,1.59%,515,1.72%,760,2.54%,775,2.59%,832,2.78%,959,3.20%,"5,847",19.54%,"29,928"
"",TOTAL,"5,554",4.30%,"4,887",3.78%,"2,771",2.14%,"2,821",2.18%,"4,739",3.67%,"4,801",3.71%,"4,714",3.65%,"4,944",3.83%,"35,231",27.26%,"129,250"
Cecil,DEM,639,3.36%,515,2.71%,273,1.44%,281,1.48%,518,2.72%,524,2.76%,555,2.92%,596,3.13%,"3,901",20.52%,"19,013"
"",GRN,0,0.00%,1,1.39%,0,0.00%,2,2.78%,2,2.78%,0,0.00%,0,0.00%,2,2.78%,7,9.72%,72
"",LIB,8,1.66%,7,1.46%,9,1.87%,4,0.83%,7,1.46%,17,3.53%,12,2.49%,9,1.87%,73,15.18%,481
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Cecil,OTH,25,3.09%,18,2.22%,6,0.74%,7,0.86%,28,3.46%,28,3.46%,17,2.10%,13,1.60%,142,17.53%,810
"",REP,"1,979",5.66%,"1,657",4.74%,777,2.22%,715,2.04%,"1,569",4.48%,"1,557",4.45%,"1,637",4.68%,"1,533",4.38%,"11,424",32.65%,"34,984"
"",UNA,353,2.08%,354,2.09%,197,1.16%,194,1.14%,371,2.19%,388,2.29%,416,2.45%,477,2.81%,"2,750",16.21%,"16,965"
"",TOTAL,"3,004",4.15%,"2,553",3.52%,"1,263",1.74%,"1,203",1.66%,"2,495",3.44%,"2,515",3.47%,"2,641",3.65%,"2,631",3.63%,"18,305",25.27%,"72,451"
Charles,DEM,"3,062",4.06%,"2,979",3.95%,"2,055",2.73%,"1,567",2.08%,"2,854",3.79%,"2,728",3.62%,"2,937",3.90%,"3,661",4.86%,"21,843",29.00%,"75,333"
"",GRN,5,4.59%,1,0.92%,1,0.92%,3,2.75%,2,1.83%,1,0.92%,1,0.92%,3,2.75%,17,15.60%,109
"",LIB,8,1.79%,17,3.79%,7,1.56%,4,0.89%,13,2.90%,13,2.90%,16,3.57%,13,2.90%,91,20.31%,448
"",NLM,2,1.25%,5,3.13%,1,0.63%,0,0.00%,1,0.63%,6,3.75%,5,3.13%,5,3.13%,25,15.63%,160
"",OTH,30,2.75%,25,2.29%,15,1.37%,14,1.28%,22,2.01%,28,2.56%,21,1.92%,29,2.66%,184,16.85%,"1,092"
"",REP,"1,556",6.66%,"1,291",5.53%,647,2.77%,518,2.22%,"1,065",4.56%,967,4.14%,"1,004",4.30%,899,3.85%,"7,947",34.02%,"23,363"
"",UNA,645,2.62%,612,2.49%,398,1.62%,365,1.48%,594,2.41%,617,2.51%,787,3.20%,933,3.79%,"4,951",20.12%,"24,603"
"",TOTAL,"5,308",4.24%,"4,930",3.94%,"3,124",2.50%,"2,471",1.98%,"4,551",3.64%,"4,360",3.48%,"4,771",3.81%,"5,543",4.43%,"35,058",28.02%,"125,108"
Dorchester,DEM,352,3.69%,295,3.09%,140,1.47%,117,1.23%,249,2.61%,227,2.38%,249,2.61%,285,2.98%,"1,914",20.04%,"9,551"
"",GRN,2,12.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,12.50%,16
"",LIB,0,0.00%,3,2.73%,1,0.91%,1,0.91%,3,2.73%,3,2.73%,4,3.64%,3,2.73%,18,16.36%,110
"",NLM,0,0.00%,1,3.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,3.33%,2,6.67%,4,13.33%,30
"",OTH,6,2.38%,9,3.57%,4,1.59%,2,0.79%,4,1.59%,6,2.38%,5,1.98%,4,1.59%,40,15.87%,252
"",REP,538,5.69%,361,3.82%,177,1.87%,196,2.07%,340,3.60%,318,3.36%,326,3.45%,309,3.27%,"2,565",27.13%,"9,456"
"",UNA,73,1.71%,92,2.16%,50,1.17%,32,0.75%,68,1.60%,87,2.04%,101,2.37%,96,2.26%,599,14.07%,"4,257"
"",TOTAL,971,4.10%,761,3.21%,372,1.57%,348,1.47%,664,2.81%,641,2.71%,686,2.90%,699,2.95%,"5,142",21.72%,"23,672"
Frederick,DEM,"2,200",2.81%,"2,203",2.81%,"1,697",2.16%,"1,499",1.91%,"2,085",2.66%,"2,164",2.76%,"2,248",2.87%,"2,524",3.22%,"16,620",21.19%,"78,431"
"",GRN,2,0.86%,2,0.86%,1,0.43%,4,1.72%,2,0.86%,4,1.72%,4,1.72%,5,2.16%,24,10.34%,232
"",LIB,19,1.52%,26,2.08%,20,1.60%,18,1.44%,31,2.48%,14,1.12%,35,2.80%,25,2.00%,188,15.02%,"1,252"
"",NLM,3,1.09%,5,1.82%,4,1.46%,0,0.00%,3,1.09%,1,0.36%,6,2.19%,7,2.55%,29,10.58%,274
"",OTH,28,1.91%,18,1.23%,23,1.57%,11,0.75%,24,1.63%,27,1.84%,31,2.11%,42,2.86%,204,13.90%,"1,468"
"",REP,"3,197",4.65%,"2,785",4.05%,"1,717",2.50%,"1,738",2.53%,"2,860",4.16%,"2,551",3.71%,"2,717",3.96%,"2,508",3.65%,"20,073",29.22%,"68,686"
"",UNA,"1,121",2.12%,"1,218",2.30%,899,1.70%,931,1.76%,"1,213",2.29%,"1,191",2.25%,"1,465",2.76%,"1,630",3.08%,"9,668",18.25%,"52,988"
"",TOTAL,"6,570",3.23%,"6,257",3.08%,"4,361",2.14%,"4,201",2.07%,"6,218",3.06%,"5,952",2.93%,"6,506",3.20%,"6,741",3.32%,"46,806",23.02%,"203,331"
Garrett,DEM,199,5.77%,130,3.77%,58,1.68%,33,0.96%,91,2.64%,93,2.69%,83,2.41%,82,2.38%,769,22.28%,"3,451"
"",GRN,1,5.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,5.56%,18
"",LIB,5,4.72%,2,1.89%,2,1.89%,0,0.00%,2,1.89%,3,2.83%,3,2.83%,9,8.49%,26,24.53%,106
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.17%,2,8.33%,3,12.50%,24
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Garrett,REP,866,6.29%,631,4.59%,279,2.03%,229,1.66%,520,3.78%,541,3.93%,472,3.43%,501,3.64%,"4,039",29.36%,"13,758"
"",UNA,87,2.89%,62,2.06%,64,2.13%,17,0.56%,58,1.93%,58,1.93%,75,2.49%,72,2.39%,493,16.38%,"3,010"
"",TOTAL,"1,165",5.67%,831,4.04%,406,1.98%,282,1.37%,682,3.32%,702,3.42%,638,3.10%,670,3.26%,"5,376",26.16%,"20,549"
Harford,DEM,"2,885",4.50%,"2,481",3.87%,"1,380",2.15%,"1,211",1.89%,"2,212",3.45%,"2,143",3.34%,"2,358",3.68%,"2,649",4.13%,"17,319",27.03%,"64,081"
"",GRN,0,0.00%,1,0.61%,0,0.00%,2,1.22%,7,4.27%,2,1.22%,5,3.05%,4,2.44%,21,12.80%,164
"",LIB,35,2.73%,36,2.81%,27,2.11%,24,1.87%,36,2.81%,41,3.20%,35,2.73%,48,3.75%,282,22.01%,"1,281"
"",NLM,1,0.36%,6,2.17%,5,1.81%,1,0.36%,2,0.72%,6,2.17%,4,1.45%,8,2.90%,33,11.96%,276
"",OTH,64,3.20%,69,3.45%,34,1.70%,29,1.45%,56,2.80%,46,2.30%,53,2.65%,69,3.45%,420,20.98%,"2,002"
"",REP,"4,995",6.17%,"4,338",5.36%,"2,181",2.69%,"1,884",2.33%,"4,061",5.02%,"3,615",4.46%,"3,708",4.58%,"3,783",4.67%,"28,565",35.28%,"80,972"
"",UNA,"1,171",2.65%,"1,154",2.62%,756,1.71%,708,1.60%,"1,199",2.72%,"1,229",2.79%,"1,399",3.17%,"1,546",3.50%,"9,162",20.77%,"44,122"
"",TOTAL,"9,151",4.74%,"8,085",4.19%,"4,383",2.27%,"3,859",2.00%,"7,573",3.93%,"7,082",3.67%,"7,562",3.92%,"8,107",4.20%,"55,802",28.93%,"192,898"
Howard,DEM,"5,234",4.27%,"4,710",3.84%,"2,876",2.35%,"2,497",2.04%,"3,922",3.20%,"3,700",3.02%,"4,447",3.63%,"5,322",4.34%,"32,708",26.67%,"122,630"
"",GRN,1,0.38%,2,0.76%,2,0.76%,1,0.38%,4,1.52%,3,1.14%,10,3.79%,6,2.27%,29,10.98%,264
"",LIB,26,2.71%,23,2.40%,19,1.98%,11,1.15%,20,2.09%,23,2.40%,25,2.61%,37,3.86%,184,19.19%,959
"",NLM,4,1.16%,4,1.16%,5,1.45%,0,0.00%,3,0.87%,7,2.02%,10,2.89%,15,4.34%,48,13.87%,346
"",OTH,89,4.14%,50,2.33%,22,1.02%,22,1.02%,60,2.79%,56,2.61%,56,2.61%,63,2.93%,418,19.46%,"2,148"
"",REP,"2,574",5.31%,"2,133",4.40%,"1,068",2.20%,932,1.92%,"1,810",3.73%,"1,729",3.57%,"1,863",3.84%,"2,011",4.15%,"14,120",29.11%,"48,498"
"",UNA,"1,653",2.67%,"1,759",2.85%,"1,231",1.99%,"1,017",1.65%,"1,367",2.21%,"1,511",2.45%,"1,820",2.95%,"2,384",3.86%,"12,742",20.62%,"61,796"
"",TOTAL,"9,581",4.05%,"8,681",3.67%,"5,223",2.21%,"4,480",1.89%,"7,186",3.04%,"7,029",2.97%,"8,231",3.48%,"9,838",4.16%,"60,249",25.46%,"236,641"
Kent,DEM,336,5.88%,221,3.86%,112,1.96%,81,1.42%,200,3.50%,184,3.22%,186,3.25%,229,4.00%,"1,549",27.09%,"5,719"
"",GRN,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,7.14%,1,7.14%,14
"",LIB,0,0.00%,2,2.82%,1,1.41%,1,1.41%,0,0.00%,2,2.82%,0,0.00%,0,0.00%,6,8.45%,71
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.76%,1,4.76%,1,4.76%,3,14.29%,21
"",OTH,6,4.76%,3,2.38%,2,1.59%,1,0.79%,5,3.97%,3,2.38%,5,3.97%,3,2.38%,28,22.22%,126
"",REP,289,5.34%,259,4.79%,101,1.87%,69,1.28%,231,4.27%,206,3.81%,190,3.51%,181,3.35%,"1,526",28.20%,"5,411"
"",UNA,84,3.04%,81,2.93%,30,1.09%,10,0.36%,69,2.50%,59,2.13%,79,2.86%,99,3.58%,511,18.49%,"2,764"
"",TOTAL,715,5.06%,566,4.01%,246,1.74%,162,1.15%,505,3.57%,455,3.22%,461,3.26%,514,3.64%,"3,624",25.65%,"14,126"
Montgomery,DEM,"13,811",3.42%,"13,436",3.33%,"8,723",2.16%,"7,919",1.96%,"11,839",2.93%,"11,585",2.87%,"13,881",3.44%,"15,760",3.90%,"96,954",24.01%,"403,843"
"",GRN,19,2.22%,10,1.17%,10,1.17%,6,0.70%,11,1.29%,16,1.87%,15,1.75%,30,3.51%,117,13.68%,855
"",LIB,46,1.85%,48,1.93%,32,1.29%,29,1.17%,33,1.33%,41,1.65%,77,3.10%,74,2.98%,380,15.32%,"2,481"
"",NLM,14,1.33%,5,0.47%,16,1.52%,9,0.85%,8,0.76%,20,1.90%,17,1.61%,35,3.32%,124,11.78%,"1,053"
"",OTH,168,2.79%,135,2.24%,74,1.23%,68,1.13%,121,2.01%,129,2.14%,154,2.55%,181,3.00%,"1,030",17.08%,"6,031"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Montgomery,UNA,"3,725",2.19%,"3,940",2.31%,"2,816",1.65%,"2,541",1.49%,"3,583",2.10%,"4,006",2.35%,"4,879",2.86%,"5,982",3.51%,"31,472",18.48%,"170,306"
"",TOTAL,"22,433",3.28%,"21,365",3.13%,"13,611",1.99%,"12,345",1.81%,"19,010",2.78%,"19,133",2.80%,"22,601",3.31%,"25,970",3.80%,"156,468",22.89%,"683,515"
Prince George's,DEM,"18,289",4.01%,"16,434",3.61%,"10,181",2.23%,"8,328",1.83%,"16,299",3.58%,"15,893",3.49%,"17,270",3.79%,"21,708",4.76%,"124,402",27.30%,"455,749"
"",GRN,6,0.94%,6,0.94%,8,1.26%,5,0.78%,9,1.41%,9,1.41%,6,0.94%,13,2.04%,62,9.73%,637
"",LIB,18,1.09%,29,1.76%,18,1.09%,12,0.73%,37,2.25%,21,1.27%,27,1.64%,54,3.28%,216,13.11%,"1,648"
"",NLM,13,1.22%,11,1.03%,9,0.84%,6,0.56%,18,1.69%,11,1.03%,21,1.97%,39,3.65%,128,11.99%,"1,068"
"",OTH,176,1.52%,143,1.24%,90,0.78%,73,0.63%,167,1.45%,167,1.45%,164,1.42%,241,2.09%,"1,221",10.57%,"11,549"
"",REP,"1,302",3.23%,"1,163",2.88%,707,1.75%,596,1.48%,"1,120",2.78%,"1,158",2.87%,"1,039",2.58%,"1,266",3.14%,"8,351",20.71%,"40,327"
"",UNA,"1,549",1.56%,"1,744",1.75%,"1,258",1.27%,"1,112",1.12%,"1,820",1.83%,"2,093",2.11%,"2,621",2.64%,"3,638",3.66%,"15,835",15.93%,"99,412"
"",TOTAL,"21,353",3.50%,"19,530",3.20%,"12,271",2.01%,"10,132",1.66%,"19,470",3.19%,"19,352",3.17%,"21,148",3.46%,"26,959",4.42%,"150,215",24.61%,"610,390"
Queen Anne's,DEM,650,5.82%,507,4.54%,215,1.93%,210,1.88%,448,4.01%,407,3.65%,399,3.57%,459,4.11%,"3,295",29.51%,"11,165"
"",GRN,0,0.00%,1,2.33%,0,0.00%,0,0.00%,1,2.33%,1,2.33%,0,0.00%,2,4.65%,5,11.63%,43
"",LIB,9,3.80%,9,3.80%,2,0.84%,4,1.69%,7,2.95%,7,2.95%,12,5.06%,8,3.38%,58,24.47%,237
"",NLM,2,4.17%,1,2.08%,0,0.00%,0,0.00%,1,2.08%,1,2.08%,2,4.17%,1,2.08%,8,16.67%,48
"",OTH,15,4.57%,16,4.88%,11,3.35%,3,0.91%,14,4.27%,13,3.96%,13,3.96%,12,3.66%,97,29.57%,328
"",REP,"1,632",8.04%,"1,279",6.30%,473,2.33%,394,1.94%,"1,195",5.89%,"1,057",5.21%,"1,066",5.25%,"1,101",5.42%,"8,197",40.38%,"20,302"
"",UNA,291,3.32%,330,3.77%,111,1.27%,106,1.21%,329,3.76%,291,3.32%,354,4.04%,372,4.25%,"2,184",24.95%,"8,753"
"",TOTAL,"2,599",6.36%,"2,143",5.24%,812,1.99%,717,1.75%,"1,995",4.88%,"1,777",4.35%,"1,846",4.52%,"1,955",4.78%,"13,844",33.87%,"40,876"
Saint Mary's,DEM,"1,103",4.45%,982,3.96%,480,1.94%,470,1.90%,843,3.40%,801,3.23%,905,3.65%,"1,029",4.15%,"6,613",26.68%,"24,789"
"",GRN,1,1.52%,0,0.00%,2,3.03%,0,0.00%,0,0.00%,1,1.52%,3,4.55%,3,4.55%,10,15.15%,66
"",LIB,14,2.71%,19,3.68%,5,0.97%,12,2.32%,13,2.51%,13,2.51%,22,4.26%,20,3.87%,118,22.82%,517
"",NLM,1,0.93%,1,0.93%,0,0.00%,3,2.80%,1,0.93%,2,1.87%,2,1.87%,6,5.61%,16,14.95%,107
"",OTH,35,4.82%,30,4.13%,9,1.24%,16,2.20%,21,2.89%,16,2.20%,22,3.03%,25,3.44%,174,23.97%,726
"",REP,"2,437",7.47%,"2,083",6.38%,966,2.96%,943,2.89%,"1,573",4.82%,"1,580",4.84%,"1,740",5.33%,"1,729",5.30%,"13,051",39.99%,"32,638"
"",UNA,585,3.29%,642,3.61%,329,1.85%,329,1.85%,453,2.55%,486,2.73%,657,3.69%,673,3.78%,"4,154",23.36%,"17,785"
"",TOTAL,"4,176",5.45%,"3,757",4.90%,"1,791",2.34%,"1,773",2.31%,"2,904",3.79%,"2,899",3.78%,"3,351",4.37%,"3,485",4.55%,"24,136",31.50%,"76,628"
Somerset,DEM,179,3.36%,124,2.33%,70,1.31%,86,1.61%,146,2.74%,155,2.91%,144,2.70%,207,3.89%,"1,111",20.86%,"5,326"
"",GRN,0,0.00%,1,5.88%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,5.88%,17
"",LIB,1,1.32%,0,0.00%,2,2.63%,2,2.63%,0,0.00%,4,5.26%,3,3.95%,2,2.63%,14,18.42%,76
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19
"",OTH,7,4.70%,1,0.67%,3,2.01%,1,0.67%,2,1.34%,4,2.68%,5,3.36%,3,2.01%,26,17.45%,149
"",REP,369,5.95%,321,5.18%,142,2.29%,196,3.16%,265,4.27%,282,4.55%,279,4.50%,251,4.05%,"2,105",33.95%,"6,201"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Somerset,UNA,71,2.82%,35,1.39%,28,1.11%,29,1.15%,47,1.87%,46,1.83%,64,2.55%,65,2.59%,385,15.31%,"2,514"
"",TOTAL,627,4.38%,482,3.37%,245,1.71%,314,2.20%,460,3.22%,491,3.43%,495,3.46%,528,3.69%,"3,642",25.46%,"14,302"
Talbot,DEM,698,6.63%,570,5.41%,223,2.12%,212,2.01%,391,3.71%,376,3.57%,355,3.37%,356,3.38%,"3,181",30.20%,"10,534"
"",GRN,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,8.33%,0,0.00%,1,4.17%,1,4.17%,4,16.67%,24
"",LIB,8,4.60%,5,2.87%,2,1.15%,2,1.15%,5,2.87%,3,1.72%,8,4.60%,7,4.02%,40,22.99%,174
"",NLM,1,3.13%,2,6.25%,0,0.00%,2,6.25%,0,0.00%,0,0.00%,1,3.13%,1,3.13%,7,21.88%,32
"",OTH,10,4.13%,10,4.13%,5,2.07%,3,1.24%,9,3.72%,7,2.89%,8,3.31%,14,5.79%,66,27.27%,242
