ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1183232.68,603108.27
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,131.28,106.42
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,7265.15,4508.29
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,93,93
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,2639.96,1514.98
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,107117.9,70749
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,26941.71,15445.85
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1327421.68,695525.81
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1327421.68,695525.81
2024 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13153.33,9113.33
2024 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13153.33,9113.33
2024 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,OFFICE TOTALS:,13153.33,9113.33
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1296453.04,655395
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,3488.2,1841.75
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,11323.45,6095.45
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,109.68,109.68
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,4125,4125
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1710.47,1473.92
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,1334.82,667.41
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1318544.66,669708.21
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1318544.66,669708.21
2024 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,30500,13875
2024 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,30500,13875
2024 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,OFFICE TOTALS:,30500,13875
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1031230.47,514674.19
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,13449.06,5698.89
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,17294.31,12138.82
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1819.94,1799.94
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,20270.52,18585.86
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,236743.5,203243.12
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,8765.2,7045.2
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1329573,763186.02
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OFFICE TOTALS:,1329573,763186.02
2024 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31014.92,13952
2024 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,31014.92,13952
2024 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,OFFICE TOTALS:,31014.92,13952
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,975842.1,509738.84
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,4110.86,2852.74
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,29576.62,24349.45
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3792.54,3571.04
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,100404.02,74244.17
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,145410.41,94887.82
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,19540.7,11207.85
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1278677.25,720851.91
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OFFICE TOTALS:,1278677.25,720851.91
2024 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14659.99,8393.32
2024 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14659.99,8393.32
2024 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,OFFICE TOTALS:,14659.99,8393.32
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,69557223.21,23866468.77
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,69557223.21,23866468.77
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NEW MEMBER FURNITURE PROGRAM,TRANSPORTATION OF THINGS,595,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NEW MEMBER FURNITURE PROGRAM,SUPPLIES AND MATERIALS,10672.3,6046.51
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NEW MEMBER FURNITURE PROGRAM,NEW MEMBER FURNITURE PROGRAM TOTALS:,11267.3,6046.51
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,253097.04,108333.91
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,13818.57,5301.27
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,738640.96,275900.43
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,33971.68,12718.64
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,2252947.03,1179151.82
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,653943.16,428779.46
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,818318.43,326498.05
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,ADMIN AND OPS TOTALS:,4764736.87,2336683.58
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,OTHER SERVICES,8295,750
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,SUPPLIES AND MATERIALS,148.37,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,CHILD CARE CENTER TRAINING TOTALS:,8443.37,750
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,856.73,65.88
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,422693.28,282218.44
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,423550.01,282284.32
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,RENT  COMMUNICATION  UTILITIES,4060.27,3579.31
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,510916.06,147626.4
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,AOC MAIL IPAC TOTALS:,514976.33,151205.71
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,TRAVEL,1289.77,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,16432.65,5764.25
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,4298.25,1190.58
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,22020.67,6954.83
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,TRAVEL,36581.55,12371.55
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,RENT  COMMUNICATION  UTILITIES,22504.09,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,OTHER SERVICES,167518.09,96666.81
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,9683.04,7734.74
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,20194.95,7753.36
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,CONGRESSIONAL STAFF ACADEMY TOTALS:,256481.72,124526.46
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,657791.51,385842.98
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,EQUIPMENT,26562.5,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,684354.01,385842.98
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,1644194.9,884615.96
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,EQUIPMENT,280856.91,140428.31
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,1925051.81,1025044.27
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,216240,73080
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,216240,73080
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,918468.73,197539.58
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,918468.73,197539.58
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,OTHER SERVICES,10350,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,479933,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,490283,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,RECEPTIONS,SUPPLIES AND MATERIALS,817.65,107.57
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,RECEPTIONS,RECEPTIONS TOTALS:,817.65,107.57
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,OTHER SERVICES,262031.96,244345.16
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,SUPPLIES AND MATERIALS,4793.5,4793.5
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,EQUIPMENT,1189797.65,1133198
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,ENTERPRISE DATA STORAGE TOTALS:,1456623.11,1382336.66
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ESCALATIONS OPERATIONS,OTHER SERVICES,52616.75,47144.75
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ESCALATIONS OPERATIONS,ESCALATIONS OPERATIONS TOTALS:,52616.75,47144.75
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,44712.64,11968
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,ENTERPRISE INFRASTRUCTURE TECH TOTALS:,44712.64,11968
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,OTHER SERVICES,1116136.1,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,SUPPLIES AND MATERIALS,218655,218655
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,EQUIPMENT,72667.36,72667.36
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,ENTERPRISE LICENSES TOTALS:,1407458.46,291322.36
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CYBERSECURITY OTKA PROJECT,OTHER SERVICES,582386.4,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CYBERSECURITY OTKA PROJECT,CYBERSECURITY OTKA PROJECT TOTALS:,582386.4,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE INTERN RESOURCE OFFICE,PRINTING AND REPRODUCTION,68.94,68.94
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE INTERN RESOURCE OFFICE,SUPPLIES AND MATERIALS,80.25,80.25
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE INTERN RESOURCE OFFICE,HOUSE INTERN RESOURCE OFFICE TOTALS:,149.19,149.19
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,TRAVEL,909.59,909.59
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,PRINTING AND REPRODUCTION,1211.65,1211.65
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,OFFICE OF TALENT & DEVELOPMENT TOTALS:,2121.24,2121.24
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,SUPPLIES AND MATERIALS,11607.31,82.16
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,EQUIPMENT,527449.18,216376.51
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,MODULAR FURNITURE TOTALS:,539056.49,216458.67
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,SUPPLIES AND MATERIALS,11687.21,4785.01
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,111129.98,38397.74
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,ASSET OPERATIONS TOTALS:,122817.19,43182.75
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,OTHER SERVICES,5512.06,5512.06
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,SUPPLIES AND MATERIALS,79603.48,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,EQUIPMENT,253762.98,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,IDENTITY ACCESS MANAGEMENT TOTALS:,338878.52,5512.06
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,TRANSPORTATION OF THINGS,225,225
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,OTHER SERVICES,4190,4190
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,332000.15,126507.62
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,EQUIPMENT,1814.87,4837.17
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,CABINET & FINISHING SERVICES TOTALS:,338230.02,135759.79
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,TRAVEL,59876.08,35999.62
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,TRANSPORTATION OF THINGS,24081.75,15632.34
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,OTHER SERVICES,1908,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,SUPPLIES AND MATERIALS,1305.62,1237.9
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,EQUIPMENT,5545,5545
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,HRS FIELD HEARING TOTALS:,92716.45,58414.86
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,970000,727500
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,970000,727500
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,OTHER SERVICES,235889.86,156955.4
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,165,165
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,140.4,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,236195.26,157120.4
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SHAREPOINT DEVELOPMENT,OTHER SERVICES,191922.72,69862.4
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SHAREPOINT DEVELOPMENT,SHAREPOINT DEVELOPMENT TOTALS:,191922.72,69862.4
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,97111.11,97111.11
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,97111.11,97111.11
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,951145,385877.3
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,FURNITURE AND REFURBISHMENT TOTALS:,951145,385877.3
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,OTHER SERVICES,97111.11,97111.11
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,97111.11,97111.11
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO CONFERENCES AND EVENTS,TRAVEL,3276.22,3276.22
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO CONFERENCES AND EVENTS,RENT  COMMUNICATION  UTILITIES,7000,7000
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO CONFERENCES AND EVENTS,SUPPLIES AND MATERIALS,22361.15,22361.15
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO CONFERENCES AND EVENTS,CAO CONFERENCES AND EVENTS TOTALS:,32637.37,32637.37
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,TRAVEL,3858.01,2313.99
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,RENT  COMMUNICATION  UTILITIES,216.01,20.1
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,OTHER SERVICES,28544.98,27254
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,24143.03,16049.87
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,EQUIPMENT,1163.88,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,HOUSE WELLNESS PROGRAM TOTALS:,57925.91,45637.96
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,418674.12,156915.79
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,OTHER SERVICES,62239.12,31407.75
